text,created_at
"RT @lasteve423: The Democrats bring butter knives to a gun fight.

And then use them to stab one another in the back. 
#resist… ",Wed Dec 13 20:32:14 +0000 2017

im kinda tempted to do a super chill stream of me attempting to make mini pixel sprites for fun and college work bu… https://t.co/Gx6Y4M4zz6,Wed Dec 13 20:32:14 +0000 2017

"If you could eliminate one thing from the world forever, would life be better off with out guns or without religion? I'll wait",Wed Dec 13 20:32:18 +0000 2017

"The US, as a nation, has a VERY fucked up relationship with guns. And there are a lot of places to start working on… https://t.co/E7mRQ00Owe",Wed Dec 13 20:32:20 +0000 2017

RT @SimpsonsQOTD: “Becoming a cop is not something that happens overnight. It takes one solid weekend of training to get that badge.”… ,Wed Dec 13 20:32:20 +0000 2017

"Sun, sex, sand, fun, guns, girls, beer - it just doesn't get any better than this! https://t.co/ldaRpMqIrQ",Wed Dec 13 20:32:21 +0000 2017

"Classic @TGowdySC take down. Thank you Trey, @Jim_Jordan and anyone else at the #RosensteinHearing holding these gu… https://t.co/dv9pMbjm45",Wed Dec 13 20:32:22 +0000 2017

"RT @StockMonsterVIP: WOW !! OMG at the BBQ !!!

Trey Gowdy Guns A Blazing !! Does he ever make Deputy Rosenstein and Mueller look like t… ",Wed Dec 13 20:32:22 +0000 2017

"RT @TheNicerTrump: Roy Moore wins! Don't listen to the very fake news. Moore is strong on military, walls, molesting, guns, and is ok with…",Wed Dec 13 20:32:24 +0000 2017

RT @NYGovCuomo: Today I am announcing legislation to remove all firearms from those who commit any domestic violence crimes.,Wed Dec 13 20:32:25 +0000 2017

RT @NYGovCuomo: Today I am announcing legislation to remove all firearms from those who commit any domestic violence crimes.,Wed Dec 13 20:32:25 +0000 2017

"RT @StockMonsterVIP: WOW !! OMG at the BBQ !!!

Trey Gowdy Guns A Blazing !! Does he ever make Deputy Rosenstein and Mueller look like t… ",Wed Dec 13 20:32:25 +0000 2017

RT @NYGovCuomo: Today I am announcing legislation to remove all firearms from those who commit any domestic violence crimes.,Wed Dec 13 20:32:26 +0000 2017

I’m PISSED watching @Michaela on @HLNTV as they show Grand Rapids police draw guns &amp; handcuff an innocent 11 year old girl #HonestieHodges,Wed Dec 13 20:32:26 +0000 2017

"@MotherJones Thank you. Please ""stick to your guns"".",Wed Dec 13 20:32:27 +0000 2017

RT @ThwaitesBrewery: Want to win a case of 13 Guns? RT and follow for the chance! Terms apply. Competition ends on Friday. https://t.co/iGK…,Wed Dec 13 20:32:28 +0000 2017

"RT @NYGovCuomo: Given the inextricable link between domestic violence and lethal gun violence, this legislation will require all do… ",Wed Dec 13 20:32:28 +0000 2017

"RT @PikeGrey1418: An interesting photo of an Austro-Hungarian observes a group of Ottoman soldiers manning a machine gun poisition, s… ",Wed Dec 13 20:32:29 +0000 2017

"RT @szemzi: płyta Sama Smitha w biedrze - okej
płyta Rihanny w biedrze - okej
płyta Ellie Goulding w biedrze - okej
płyta Guns… ",Wed Dec 13 20:32:30 +0000 2017

@premydaremy You are comparing pistols and machine guns to cartoon flame throwers and drills. Pretty sure no one ca… https://t.co/gqu6AQaiUq,Wed Dec 13 20:32:30 +0000 2017

"RT @Hoosiers1986: Dear Alabama,

Please vote for me and I promise that I will gladly kill your unborn babies, take your guns &amp; fight… ",Wed Dec 13 20:32:30 +0000 2017

"RT @StockMonsterVIP: WOW !! OMG at the BBQ !!!

Trey Gowdy Guns A Blazing !! Does he ever make Deputy Rosenstein and Mueller look like t… ",Wed Dec 13 20:32:31 +0000 2017

"RT @StockMonsterVIP: WOW !! OMG at the BBQ !!!

Trey Gowdy Guns A Blazing !! Does he ever make Deputy Rosenstein and Mueller look like t… ",Wed Dec 13 20:32:31 +0000 2017

"@NYGovCuomo @CAJillybean Including women who commit them? Oh, and you are going to return the firearms to those who… https://t.co/8LdOvCbp5K",Wed Dec 13 20:32:31 +0000 2017

"RT @StockMonsterVIP: WOW !! OMG at the BBQ !!!

Trey Gowdy Guns A Blazing !! Does he ever make Deputy Rosenstein and Mueller look like t… ",Wed Dec 13 20:32:32 +0000 2017

"RT @StockMonsterVIP: WOW !! OMG at the BBQ !!!

Trey Gowdy Guns A Blazing !! Does he ever make Deputy Rosenstein and Mueller look like t… ",Wed Dec 13 20:32:34 +0000 2017

@alrdysuccessful Till ur house on fire... or u sick and dying... or niggas with bigger guns start running down on u… https://t.co/YWVcm2QYsP,Wed Dec 13 20:32:35 +0000 2017

