text,created_at
"Sun, sex, sand, fun, guns, girls, beer - it just doesn't get any better than this! https://t.co/ldaRpMqIrQ",Mon Dec 11 20:31:50 +0000 2017

"RT @CoilHearts: If you're playing BO2 in 2017, jumping around with reg guns, there is a 0% chance you're ever losing your virginity.",Mon Dec 11 20:31:50 +0000 2017

"@shawn_luby @williamlegate @MooreSenate Say I Shawn ""The Pedo Supporter"" Luby don't mind a sexual predator in offic… https://t.co/3JqT24rCSN",Mon Dec 11 20:31:50 +0000 2017

"RT @BradThor: Step 1) Ban guns 
Step 2) Ban opposition parties https://t.co/EEDegCPBF4",Mon Dec 11 20:31:51 +0000 2017

RT @svckmyfvck_: PSA: ALL THE SCHOOLS IN ARVIN ARE ON LOCKDOWN. TWO REPORTED MEN WERE AT AHS CAMPUS WITH GUNS. ONE MAN IS NOW IN CUS… ,Mon Dec 11 20:31:51 +0000 2017

RT @Bally_E: That Bitch a still get a Nigga up outta here https://t.co/3OcHpllfLD,Mon Dec 11 20:31:53 +0000 2017

Now he got 55 more thousand dollars to buy as many guns and grenades that he want 😫 https://t.co/VkA30XyzXb,Mon Dec 11 20:31:53 +0000 2017

"RT @friendlyqueer: @KhadiDon his mom on her way to buy more guns and confederate flags after scamming Twitter out of $50,000 https://t.co/i…",Mon Dec 11 20:31:54 +0000 2017

"RT @friendlyqueer: @KhadiDon his mom on her way to buy more guns and confederate flags after scamming Twitter out of $50,000 https://t.co/i…",Mon Dec 11 20:31:54 +0000 2017

"New post () has been published on  - https://t.co/CUPRYAV831
#knife #knives #edc #edcknife #weapon #guns #gun… https://t.co/eiwrnTSm84",Mon Dec 11 20:31:53 +0000 2017

@RepulsiveAK the whole game needs to go we need some good fucking guns dood i can't deal with that fg42 nonsense mi… https://t.co/BIbuKooucI,Mon Dec 11 20:31:55 +0000 2017

"RT @AaronWorthing: @redsteeze In the same tweet, @CillizzaCNN, you say Americans want the mentally ill not to be able to purchase guns… ",Mon Dec 11 20:31:56 +0000 2017

"New post () has been published on  - https://t.co/Vpt5Gcj7oU
#knife #knives #edc #edcknife #weapon #guns #gun… https://t.co/gtTL8650ij",Mon Dec 11 20:31:57 +0000 2017

"RT @JenAshleyWright: @not_all_eggs Remember that the same people who think you should give up your body to ""preserve life"" won't even give…",Mon Dec 11 20:31:58 +0000 2017

RT @meezybaby27: I know I’m an ass hole. And bullying ain’t right at all.But ima stick with my guns when I say bullying is a parent… ,Mon Dec 11 20:31:58 +0000 2017

@FreeUSA1776 @Zykur_ @AdamPiersen You are more likely statistically to be murdered by a resident of Montana with a… https://t.co/6RpLJ2fEDj,Mon Dec 11 20:31:58 +0000 2017

@EtalePhilip @ntsa_kenya is focussing on Alcoblow and speed guns at the expense of other 15parameters. invite some… https://t.co/bqPgrOb4wt,Mon Dec 11 20:31:59 +0000 2017

"Seen this on u tube... funny af 😂
""Old man"" out lifts the young guns https://t.co/IRy1g4EfKB",Mon Dec 11 20:32:00 +0000 2017

"RT @TheRealDocWhite: Suspects are described as “tall dreadlocked males with guns wearing hooded sweatshirts and pants” 

No mention of r… ",Mon Dec 11 20:32:02 +0000 2017

RT @OnlineMagazin: 🆘‼️😇🎅 Poland: The #ChristmasMarket in Breslau (Wroclaw) has been named the most beautiful #Christmas market in… ,Mon Dec 11 20:32:03 +0000 2017

RT @AGSchneiderman: Concealed carry reciprocity is a public safety disaster in the making. We’re a Senate vote away from guns in Times… ,Mon Dec 11 20:32:03 +0000 2017

"RT @RogueSNRadvisor: We get it, you support child predators. https://t.co/kfAZimxSba",Mon Dec 11 20:32:05 +0000 2017

RT @dbongino: The stupid is spreading. https://t.co/qaGOob9ISx,Mon Dec 11 20:32:09 +0000 2017

"RT @indietraducao: guns for hands - twenty one pilots

eu tento dormi mas tem uns maluco me apontando arma o que e isto",Mon Dec 11 20:32:11 +0000 2017

RT @GunsRifles_Newz: #China Is Now Making Some of the Most Powerful #guns on the Planet https://t.co/nLH2qZDBH9 https://t.co/pbJupsgrR0,Mon Dec 11 20:32:11 +0000 2017

RT @NickyRozay: All guns shoot the same. https://t.co/cNuEyDIFaK,Mon Dec 11 20:32:13 +0000 2017

RT @JannaWilkinso69: My GRANNY was RAPED as a TEEN and my MOM WAS BORN😃 My MOM was RAPED as a TEEN and I WAS BORN😃DON'T TALK to ME ABOUT… ,Mon Dec 11 20:32:14 +0000 2017

Yo favorite rapper uses prop guns in his videos,Mon Dec 11 20:32:17 +0000 2017

"How do these young guns make millions 
#makemoney #onlinemoney #digitalsystem #mlm #lead #traffic #fastmoney #cash
https://t.co/xRoc0f2qqL",Mon Dec 11 20:32:17 +0000 2017

RT @dbongino: The stupid is spreading. https://t.co/qaGOob9ISx,Mon Dec 11 20:32:18 +0000 2017

RT @LDoren: White People at Tea Party with guns...meanwhile cropping the black man's head who was the one holding the gun.… ,Mon Dec 11 20:32:19 +0000 2017

@DrJaninaRamirez @StAnnesCollege Glad @BBCMorelle stuck to her guns re: Titanium....despite dismissive response from @MaryDArcher 😉,Mon Dec 11 20:32:20 +0000 2017

"RT @jorgelawdawg: Guns are illegal in Mexico. The left wants guns illegal here. No thanks.
https://t.co/pSuywj6ogK",Mon Dec 11 20:32:24 +0000 2017

"RT @friendlyqueer: @KhadiDon his mom on her way to buy more guns and confederate flags after scamming Twitter out of $50,000 https://t.co/i…",Mon Dec 11 20:32:28 +0000 2017

RT @InvisibleJesse: @ShaunKing They did to do something! The house republicans voted to expand the ability to take guns across state li… ,Mon Dec 11 20:32:32 +0000 2017

"RT @Marksman: What's with COD devs balancing OP guns 2 years after release? Lol, the ASM1 and BAL in AW and now the VMP today https://t.co/…",Mon Dec 11 20:32:32 +0000 2017

"3 canciones de Green Day que más te lleguen? — 21 guns
Outlaws
Yyyy are we the waiting https://t.co/G7bX56gHby",Mon Dec 11 20:32:33 +0000 2017

