text,created_at
RT @hennievvuuren: Thanks to the @EFFSouthAfrica for the invitation to brief your leadership on evidence in ‘Apartheid Guns and Money’… ,Tue Dec 12 20:31:24 +0000 2017

"Guns Bread and Butter🥈
https://t.co/kbu4oAK0ic
🍽🔫💢🎶🔰🔪🍞🦋🎶💢🍮🍽
#instagramdown #GoogleActívateTalk
#GenoaAtalanta… https://t.co/Kjiuax4yuJ",Tue Dec 12 20:31:26 +0000 2017

"Sarah Sanders is blaming brown immigrants on all the terror/crime in the US while WHITE American rightwing ""Christi… https://t.co/SvYxuF5dIs",Tue Dec 12 20:31:26 +0000 2017

"Hit piece. It’s insane to point fingers at the innocent. A mentally ill kid, on psychotropic drugs, kills his own m… https://t.co/YepwlA0TM0",Tue Dec 12 20:31:30 +0000 2017

"RT @DarkTriadMan: #AlabamaSenateRace #AlabamaSenateElection #GunControlNow 

GUNS?

“The purpose of lethal military grade weapons in… ",Tue Dec 12 20:31:32 +0000 2017

@American915 @TezFunz2 A fellow guns n roses fan nice one dude,Tue Dec 12 20:31:45 +0000 2017

"RT @McAdooImages: There it is, out in the open. The reason for the last months of “fake news,” “deep state,” “Jesus loves this presid… ",Tue Dec 12 20:31:46 +0000 2017

RT @elijahdaniel: someone broke into our neighbors house dressed as santa and the news was here so sam just went out and was on the n… ,Tue Dec 12 20:31:50 +0000 2017

RT @RallySweden: The @motorsportskoda driver lineup for 2018!💥👍 https://t.co/qWb76h2LhD,Tue Dec 12 20:31:51 +0000 2017

RT @elijahdaniel: someone broke into our neighbors house dressed as santa and the news was here so sam just went out and was on the n… ,Tue Dec 12 20:31:51 +0000 2017

RT @hennievvuuren: Thanks to the @EFFSouthAfrica for the invitation to brief your leadership on evidence in ‘Apartheid Guns and Money’… ,Tue Dec 12 20:31:51 +0000 2017

"RT @RubyRockstar333: This is what Chelsea Handler stands for: 
2 abortions at the age of 16, Pee 'fun' at the lake, Hug-a-thons w/ Ted L… ",Tue Dec 12 20:31:52 +0000 2017

RT @FareedBlackman: No one was worried about immigration but a bunch of bigots. They didn't spend this long talking about guns after a… ,Tue Dec 12 20:31:53 +0000 2017

"RT @PrincessBravato: THIS.. VERY WELL SAID
👇👇👇👇👇👇👇 https://t.co/RiyCvk6Q0q",Tue Dec 12 20:31:54 +0000 2017

@shannonrwatts @NRA Forgive me 4 what I'm about 2 say. Franklin U sold your soul 2 the devil you allow people to bu… https://t.co/XFMTgAhw8Z,Tue Dec 12 20:31:55 +0000 2017

@piersmorgan How can you support Trump and be anti- guns. Impossible,Tue Dec 12 20:31:56 +0000 2017

"RT @WalkerMP_GPD: @PrincessBravato Exactly. The MAGA movement is all about demonizing brown and Middle Eastern people, yet turn a bli… ",Tue Dec 12 20:31:58 +0000 2017

RT @OnlineMagazin: 🆘‼️😇🎅 Poland: The #ChristmasMarket in Breslau (Wroclaw) has been named the most beautiful #Christmas market in… ,Tue Dec 12 20:31:58 +0000 2017

RT @naimah_jennings: If we’re banning Bangladeshis then we should also ban all white men from buying guns. It’s only logical.,Tue Dec 12 20:32:00 +0000 2017

"Guns Bread and Butter🥈
https://t.co/DqPGKGwdYK
🍽🔫💢🎶🔰🔪🍞🦋🎶💢🍮🍽
#instagramdown #GoogleActívateTalk
#GenoaAtalanta… https://t.co/Ug8FMpbZSM",Tue Dec 12 20:32:04 +0000 2017

Las Vegas Casinos Are Now Testing Covert Gun-Sensing Technology https://t.co/vW3E3LGqq3,Tue Dec 12 20:32:06 +0000 2017

"Sun, sex, sand, fun, guns, girls, beer - it just doesn't get any better than this! https://t.co/ldaRpMqIrQ",Tue Dec 12 20:32:08 +0000 2017

"RT @PrincessBravato: THIS.. VERY WELL SAID
👇👇👇👇👇👇👇 https://t.co/RiyCvk6Q0q",Tue Dec 12 20:32:09 +0000 2017

"RT @aestheticxthing: Natasha Romanoff

""Well, maybe it's not about guns."" https://t.co/lGuJkHFzA8",Tue Dec 12 20:32:12 +0000 2017

He grew convinced that the home’s previous owners hid guns or drugs or money somewhere on the property. The fact th… https://t.co/DeLYPz7rcd,Tue Dec 12 20:32:14 +0000 2017

"My guy said ""gotta put a hoe nigga on ice"" after saying ""compelling, you can hear the guns yelling"" 

He is really… https://t.co/quSmD57B9Y",Tue Dec 12 20:32:14 +0000 2017

"@IanBlueCFC @DICE_FireWall @EAStarWars @SWBFUpdates yeah tbch,ppl like him and myself prolly put too much time in l… https://t.co/VjpbNApdzX",Tue Dec 12 20:32:16 +0000 2017

"RT @Hoosiers1986: Dear Alabama,

Please vote for me and I promise that I will gladly kill your unborn babies, take your guns &amp; fight… ",Tue Dec 12 20:32:16 +0000 2017

RT @elnathan_john: To all those who 2 years ago refused to be carried away by the foolishness in Nigeria of asking why non combatants… ,Tue Dec 12 20:32:18 +0000 2017

"@realDonaldTrump More #TrumpLies!

 FACT: @GDouglasJones is for #WomensRights , #2ndAmendment , #TaxReform and… https://t.co/pSpTZ6jfMS",Tue Dec 12 20:32:19 +0000 2017

"I listen to various genres tbh so it’s a long list. But here we go: adele, sia, rihanna, weeknd, lady gaga, dido an… https://t.co/B9NaQ5cZ6L",Tue Dec 12 20:32:21 +0000 2017

@Awest76nSC @Stonekettle Guess they missed that whole takeover of a forest service office a couple years ago. That… https://t.co/Uimc4kd4Kg,Tue Dec 12 20:32:21 +0000 2017

"RT @Jerry_Doshier: Obama, Clinton, &amp; Holder were the worst leaders for America in many decades. They need to be investigated. Uranium… ",Tue Dec 12 20:32:21 +0000 2017

RT @cushbomb: Roy Moore arrives at polling place by propelling himself forward by shooting his little guns behind him. Pew! Pew! Pew!,Tue Dec 12 20:32:22 +0000 2017

"RT @indietraducao: guns for hands - twenty one pilots

eu tento dormi mas tem uns maluco me apontando arma o que e isto",Tue Dec 12 20:32:22 +0000 2017

"RT @Lizzy_OMalley: Dear David Rothschild,

You do NOT speak for us (especially those us who’s family members actually have to ride the… ",Tue Dec 12 20:32:26 +0000 2017

"@wearvr  VIRTUAL (and real) FINGERS CROSSED!  Astral Domine, Cube Monster, Fairy Garden, Guns 'N' Stories: Bulletpr… https://t.co/02ud6pP3lq",Tue Dec 12 20:32:26 +0000 2017

"RT @iMovieTimeLinks: فيلم الكوميديا الفرنسي
Father and guns 2 2017
اب وابنه شرطيان وهم على وشك ان يعملان معًا كفريق من اجل تنفيذ مهمة صع… ",Tue Dec 12 20:32:28 +0000 2017

"RT @Hoosiers1986: Dear Alabama,

Please vote for me and I promise that I will gladly kill your unborn babies, take your guns &amp; fight… ",Tue Dec 12 20:32:29 +0000 2017

"WE HAVE CREATED GUILLOTINES, NOOSES, PNEUMATIC GUNS, VENUS FLYTRAPS, PIRATE PLANKS AND SEVERAL ACME-ESQUE SPLATTERI… https://t.co/lnkYFwgUh2",Tue Dec 12 20:32:30 +0000 2017

RT @zackfox: y'all gave keaton 60K like he won't spend it on guns and trench coats,Tue Dec 12 20:32:33 +0000 2017

"RT @Hoosiers1986: Dear Alabama,

Please vote for me and I promise that I will gladly kill your unborn babies, take your guns &amp; fight… ",Tue Dec 12 20:32:37 +0000 2017

RT @ThwaitesBrewery: Give yourself the chance to win a case of 13 Guns when you RT and follow! Terms apply. Competition ends on Friday. htt…,Tue Dec 12 20:32:40 +0000 2017

"RT @Hoosiers1986: Dear Alabama,

Please vote for me and I promise that I will gladly kill your unborn babies, take your guns &amp; fight… ",Tue Dec 12 20:32:40 +0000 2017

@cushbomb He shoots his vote unto the ballot basically The  episode of simpsons where Homer gets into guns but unironically,Tue Dec 12 20:32:41 +0000 2017

"I just liked this song ""21 Guns"" by 21 Savage, XXXTENTACION https://t.co/gjlla11iEm https://t.co/svKUiIe1zH",Tue Dec 12 20:32:44 +0000 2017

@ishaantharoor Say the ppl with guns stopped 80 ppl from getting killed! Basically call.forore white guys with guns! So nothing!,Tue Dec 12 20:32:44 +0000 2017

RT @AbkaFitzHenley: Associates of Hudson adamant that she did not leave airport in Fortlauderdale Florida when she departed Jamaica en… ,Tue Dec 12 20:32:45 +0000 2017

"RT @_Makada_: Dear Alabama,

If you want lower taxes, strong borders, 2nd amendment, and more freedom, vote for Judge Roy Moore.… ",Tue Dec 12 20:32:46 +0000 2017

RT @cushbomb: Roy Moore arrives at polling place by propelling himself forward by shooting his little guns behind him. Pew! Pew! Pew!,Tue Dec 12 20:32:50 +0000 2017

CANNABIS legalization a gateway to gun confiscation? Medical marijuana users told to turn in their guns https://t.co/1deRZ5OPWv,Tue Dec 12 20:32:52 +0000 2017

"@hurricanenita Just finished watching Hired Guns. I'm an R&amp;B guy, nvr knew who u were. I know the RnB guns, it's a… https://t.co/2NWZWQ09Oq",Tue Dec 12 20:32:53 +0000 2017

RT @KeatonMFJones: Bout to blow this 57k on sum guns and shoot up the school silly 🐒 🤣,Tue Dec 12 20:32:53 +0000 2017

RT @elijahdaniel: someone broke into our neighbors house dressed as santa and the news was here so sam just went out and was on the n… ,Tue Dec 12 20:32:53 +0000 2017

"RT @AMillennialMind: Dear Coastal &amp; Media Elites:
Mock Roy Moore for riding to the polls on his horse Sassy. Mock Alabamians for clingin… ",Tue Dec 12 20:32:54 +0000 2017

"RT @us_poll: @cspan Voted Moore Like to keep my Guns, Don't like aborted a Full term Baby-murder and Don't want to be Mexico!",Tue Dec 12 20:32:56 +0000 2017

And then later the House passed a bill to make it easier for people to conceal carry guns across state lines. https://t.co/nljItc2kIg,Tue Dec 12 20:32:57 +0000 2017

Or it could just be the pedophilia.... https://t.co/fS4MBWNMEj,Tue Dec 12 20:32:57 +0000 2017

Poll: Less than a third of Americans think good guys with guns make the public safer https://t.co/fMmEkTvqax,Tue Dec 12 20:33:00 +0000 2017

"No, this is a collective white understanding, that guns &amp; weapons in the hands of POC are a direct threat to white… https://t.co/QftQaI41ht",Tue Dec 12 20:33:01 +0000 2017

RT @SarahBo18687778: JONES to Alabama voters. Plus: I’ll bring in more illegals to take your tax   $$$ so they’ll have better things for… ,Tue Dec 12 20:33:08 +0000 2017

Mayorkun Performs 'Che Che' At Merrybet Celebrity Fans Challenge 2017 https://t.co/28PEuftXa3 #guns#cars#boobs #tru… https://t.co/ljXiNGjaIF,Tue Dec 12 20:33:09 +0000 2017

"RT @RubyRockstar333: This is what Chelsea Handler stands for: 
2 abortions at the age of 16, Pee 'fun' at the lake, Hug-a-thons w/ Ted L… ",Tue Dec 12 20:33:09 +0000 2017

"RT @Hoosiers1986: Dear Alabama,

Please vote for me and I promise that I will gladly kill your unborn babies, take your guns &amp; fight… ",Tue Dec 12 20:33:10 +0000 2017

"@LibertySeeds @politico Jones is pretty far from communist, so I'm assuming you mean that in the typical right-wing… https://t.co/WuiUG7MhbJ",Tue Dec 12 20:33:11 +0000 2017

RT @WPLGLocal10: New bill in the Florida legislature would give felons in the state a second chance at owning guns… ,Tue Dec 12 20:33:12 +0000 2017

"RT @Jaehaerys48: @ZeroReq011 Basically, the image is that militarists use guns, fundamentalists use swords, but revolutionaries use the gui…",Tue Dec 12 20:33:14 +0000 2017

Actress Vanisri SHOCKING Personal Life Details! | Latest Celebrity Updates | Super Movies Adda… https://t.co/BdKlNFDFpA,Tue Dec 12 20:33:15 +0000 2017

"RT @us_poll: @cspan Voted Moore Like to keep my Guns, Don't like aborted a Full term Baby-murder and Don't want to be Mexico!",Tue Dec 12 20:33:16 +0000 2017

2017 Felia Celebrity Invitational Bowling Cup - Sangpil Park vs Yongsuk Kim https://t.co/jYnEhHzFIM #guns#cars#boob… https://t.co/6KaUFg5Yiq,Tue Dec 12 20:33:18 +0000 2017

"RT @AriBerman: 33,000 gun deaths a year in US

""Don't talk about guns""

31 cases of voter impersonation since 2000

""Voter fraud!""",Tue Dec 12 20:33:19 +0000 2017

"RT @RubyRockstar333: This is what Chelsea Handler stands for: 
2 abortions at the age of 16, Pee 'fun' at the lake, Hug-a-thons w/ Ted L… ",Tue Dec 12 20:33:19 +0000 2017

"RT @RubyRockstar333: This is what Chelsea Handler stands for: 
2 abortions at the age of 16, Pee 'fun' at the lake, Hug-a-thons w/ Ted L… ",Tue Dec 12 20:33:20 +0000 2017

"Judd Apatow - 'The Return', Steve Bannon, Celebrity Photos - Jim Norton &amp; Sam Roberts https://t.co/MHv2ZuDgbS #guns… https://t.co/2bG43JcEgN",Tue Dec 12 20:33:20 +0000 2017

Nostalgie https://t.co/FntL0oF91M,Tue Dec 12 20:33:21 +0000 2017

RT @Toonimated: Girls with Guns ✍️ https://t.co/xp6dz8u1M1,Tue Dec 12 20:33:23 +0000 2017

"RT @RubyRockstar333: This is what Chelsea Handler stands for: 
2 abortions at the age of 16, Pee 'fun' at the lake, Hug-a-thons w/ Ted L… ",Tue Dec 12 20:33:23 +0000 2017

