EXCHANGE%3DNYSE,,,,,,
MARKET_OPEN_MINUTE=570,,,,,,
MARKET_CLOSE_MINUTE=960,,,,,,
INTERVAL=60,,,,,,
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,
DATA=,,,,,,
TIMEZONE_OFFSET=-300,,,,,,
225,52.2,52.2,52.15,52.15,700,12/11/17 13:15
227,52.15,52.15,52.15,52.15,100,12/11/17 13:17
228,52.15,52.15,52.15,52.15,200,12/11/17 13:18
229,52.15,52.15,52.15,52.15,506,12/11/17 13:19
232,52.1,52.1,52.1,52.1,200,12/11/17 13:22
235,52.1,52.1,52.1,52.1,100,12/11/17 13:25
236,52.2,52.2,52.15,52.15,700,12/11/17 13:26
237,52.25,52.25,52.25,52.25,200,12/11/17 13:27
238,52.2,52.2,52.2,52.2,100,12/11/17 13:28
240,52.15,52.15,52.15,52.15,100,12/11/17 13:30
250,52.25,52.25,52.2,52.2,860,12/11/17 13:40
251,52.3,52.3,52.3,52.3,469,12/11/17 13:41
252,52.4,52.4,52.3,52.3,900,12/11/17 13:42
253,52.6,52.6,52.45,52.45,1259,12/11/17 13:43
256,52.56,52.56,52.56,52.56,500,12/11/17 13:46
257,52.5,52.55,52.5,52.55,2200,12/11/17 13:47
258,52.5,52.5,52.4735,52.4735,600,12/11/17 13:48
259,52.6718,52.7,52.545,52.545,2763,12/11/17 13:49
261,52.5912,52.5912,52.5912,52.5912,500,12/11/17 13:51
265,52.65,52.65,52.65,52.65,200,12/11/17 13:55
266,52.7,52.75,52.655,52.6789,1800,12/11/17 13:56
267,52.6774,52.6774,52.6774,52.6774,182,12/11/17 13:57
269,52.65,52.65,52.6,52.65,912,12/11/17 13:59
271,52.557,52.557,52.557,52.557,100,12/11/17 14:01
272,52.6,52.6,52.55,52.55,638,12/11/17 14:02
276,52.6,52.6,52.5678,52.5678,652,12/11/17 14:06
277,52.65,52.65,52.6,52.6,1100,12/11/17 14:07
278,52.6,52.6,52.6,52.6,400,12/11/17 14:08
280,52.55,52.55,52.5,52.5,400,12/11/17 14:10
281,52.55,52.55,52.55,52.55,100,12/11/17 14:11
282,52.5,52.525,52.5,52.525,300,12/11/17 14:12
283,52.4,52.5,52.4,52.5,1461,12/11/17 14:13
284,52.4,52.4,52.35,52.35,400,12/11/17 14:14
285,52.35,52.35,52.35,52.35,300,12/11/17 14:15
286,52.35,52.35,52.35,52.35,300,12/11/17 14:16
287,52.35,52.375,52.35,52.375,300,12/11/17 14:17
288,52.35,52.4,52.3,52.3,300,12/11/17 14:18
289,52.375,52.375,52.35,52.375,489,12/11/17 14:19
290,52.35,52.375,52.35,52.375,800,12/11/17 14:20
