EXCHANGE%3DNYSE,,,,,,
MARKET_OPEN_MINUTE=570,,,,,,
MARKET_CLOSE_MINUTE=960,,,,,,
INTERVAL=60,,,,,,
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,
DATA=,,,,,,
TIMEZONE_OFFSET=-300,,,,,,
61,52.35,52.35,52.35,52.35,100,12/12/17 10:31
62,52.4194,52.4194,52.4194,52.4194,1143,12/12/17 10:32
63,52.4,52.4,52.3,52.35,1109,12/12/17 10:33
65,52.25,52.25,52.25,52.25,100,12/12/17 10:35
66,52.3515,52.3515,52.3515,52.3515,302,12/12/17 10:36
70,52.3,52.3,52.3,52.3,100,12/12/17 10:40
72,52.25,52.25,52.25,52.25,700,12/12/17 10:42
74,52.3,52.3,52.3,52.3,200,12/12/17 10:44
75,52.4,52.4,52.2,52.2,3300,12/12/17 10:45
76,52.35,52.35,52.35,52.35,600,12/12/17 10:46
79,52.3245,52.3245,52.3245,52.3245,100,12/12/17 10:49
80,52.4,52.4,52.3,52.35,900,12/12/17 10:50
82,52.45,52.495,52.45,52.45,1014,12/12/17 10:52
83,52.4,52.4,52.4,52.4,100,12/12/17 10:53
85,52.45,52.45,52.425,52.45,400,12/12/17 10:55
86,52.45,52.45,52.45,52.45,200,12/12/17 10:56
87,52.4755,52.4755,52.4755,52.4755,150,12/12/17 10:57
88,52.5,52.5,52.45,52.45,1206,12/12/17 10:58
89,52.55,52.55,52.475,52.475,1496,12/12/17 10:59
90,52.45,52.5,52.45,52.5,2100,12/12/17 11:00
94,52.4,52.4,52.4,52.4,1300,12/12/17 11:04
95,52.4105,52.45,52.4105,52.45,350,12/12/17 11:05
96,52.35,52.35,52.35,52.35,100,12/12/17 11:06
97,52.35,52.4043,52.35,52.4043,699,12/12/17 11:07
100,52.25,52.25,52.25,52.25,100,12/12/17 11:10
102,52.35,52.35,52.25,52.25,500,12/12/17 11:12
103,52.25,52.25,52.25,52.25,100,12/12/17 11:13
104,52.25,52.25,52.25,52.25,200,12/12/17 11:14
106,52.3,52.3,52.25,52.25,300,12/12/17 11:16
107,52.25,52.25,52.25,52.25,100,12/12/17 11:17
108,52.35,52.35,52.35,52.35,100,12/12/17 11:18
110,52.25,52.3,52.25,52.25,3100,12/12/17 11:20
112,52.2,52.25,52.2,52.25,1400,12/12/17 11:22
116,52.3,52.3,52.2,52.25,1600,12/12/17 11:26
119,52.2,52.25,52.2,52.25,1100,12/12/17 11:29
121,52.15,52.15,52.15,52.15,400,12/12/17 11:31
123,52.2,52.25,52.15,52.2,9500,12/12/17 11:33
124,52.3,52.3,52.2,52.2,1800,12/12/17 11:34
125,52.3,52.35,52.29,52.3,2350,12/12/17 11:35
127,52.25,52.275,52.25,52.25,1100,12/12/17 11:37
128,52.25,52.25,52.25,52.25,100,12/12/17 11:38
129,52.23,52.268,52.23,52.268,1737,12/12/17 11:39
130,52.25,52.25,52.25,52.25,300,12/12/17 11:40
131,52.25,52.25,52.25,52.25,100,12/12/17 11:41
132,52.25,52.25,52.25,52.25,100,12/12/17 11:42
134,52.3,52.3,52.25,52.25,2500,12/12/17 11:44
135,52.2,52.2,52.2,52.2,100,12/12/17 11:45
136,52.275,52.3,52.275,52.275,300,12/12/17 11:46
137,52.2,52.25,52.2,52.25,1500,12/12/17 11:47
138,52.3,52.3,52.25,52.25,1375,12/12/17 11:48
139,52.35,52.35,52.3,52.3,300,12/12/17 11:49
140,52.4,52.4,52.4,52.4,200,12/12/17 11:50
142,52.4081,52.4081,52.35,52.4,403,12/12/17 11:52
144,52.4,52.4,52.35,52.35,300,12/12/17 11:54
145,52.4,52.4,52.4,52.4,300,12/12/17 11:55
149,52.35,52.35,52.35,52.35,100,12/12/17 11:59
151,52.35,52.35,52.35,52.35,100,12/12/17 12:01
152,52.4,52.4,52.4,52.4,200,12/12/17 12:02
153,52.3,52.35,52.3,52.35,1201,12/12/17 12:03
154,52.3,52.35,52.25,52.3146,6500,12/12/17 12:04
155,52.4,52.4,52.35,52.35,400,12/12/17 12:05
156,52.45,52.45,52.375,52.4,5991,12/12/17 12:06
158,52.475,52.5,52.45,52.45,900,12/12/17 12:08
159,52.55,52.55,52.545,52.545,411,12/12/17 12:09
165,52.45,52.45,52.4,52.45,1400,12/12/17 12:15
166,52.35,52.4522,52.35,52.4522,230,12/12/17 12:16
168,52.45,52.45,52.45,52.45,200,12/12/17 12:18
169,52.4,52.4,52.4,52.4,300,12/12/17 12:19
176,52.25,52.3,52.25,52.3,900,12/12/17 12:26
177,52.15,52.2,52.1,52.2,1000,12/12/17 12:27
178,52.1,52.1,52.1,52.1,100,12/12/17 12:28
179,52.105,52.105,52.105,52.105,200,12/12/17 12:29
182,52.15,52.15,52.1173,52.1173,2127,12/12/17 12:32
183,52.3,52.3,52.2,52.2,1000,12/12/17 12:33
185,52.25,52.3,52.25,52.3,902,12/12/17 12:35
186,52.3,52.3,52.3,52.3,300,12/12/17 12:36
188,52.25,52.3,52.25,52.3,800,12/12/17 12:38
189,52.2,52.2,52.2,52.2,100,12/12/17 12:39
190,52.2,52.295,52.2,52.295,298,12/12/17 12:40
192,52.2,52.2,52.2,52.2,100,12/12/17 12:42
194,52.3,52.3,52.3,52.3,100,12/12/17 12:44
195,52.2,52.2938,52.2,52.2938,426,12/12/17 12:45
196,52.3,52.3,52.25,52.25,700,12/12/17 12:46
201,52.5,52.5,52.3,52.35,1530,12/12/17 12:51
203,52.625,52.625,52.6,52.6,2161,12/12/17 12:53
206,52.65,52.65,52.65,52.65,600,12/12/17 12:56
207,52.5,52.6,52.5,52.6,1596,12/12/17 12:57
208,52.5,52.5,52.5,52.5,500,12/12/17 12:58
209,52.4781,52.4781,52.4781,52.4781,500,12/12/17 12:59
210,52.55,52.55,52.55,52.55,100,12/12/17 13:00
211,52.6,52.6,52.55,52.55,800,12/12/17 13:01
213,52.65,52.7,52.65,52.7,650,12/12/17 13:03
215,52.65,52.65,52.6,52.65,1296,12/12/17 13:05
216,52.625,52.625,52.625,52.625,100,12/12/17 13:06
218,52.5,52.6,52.45,52.55,4809,12/12/17 13:08
219,52.7,52.7,52.65,52.65,545,12/12/17 13:09
220,52.655,52.75,52.655,52.75,700,12/12/17 13:10
224,52.7,52.7,52.7,52.7,105,12/12/17 13:14
226,52.7412,52.7412,52.7412,52.7412,1895,12/12/17 13:16
229,52.75,52.75,52.6924,52.6924,527,12/12/17 13:19
230,52.65,52.75,52.65,52.75,200,12/12/17 13:20
231,52.7,52.7,52.7,52.7,100,12/12/17 13:21
235,52.8,52.8,52.7,52.7,3415,12/12/17 13:25
237,52.85,52.85,52.85,52.85,300,12/12/17 13:27
240,52.75,52.8,52.65,52.8,1900,12/12/17 13:30
241,52.675,52.7,52.675,52.7,300,12/12/17 13:31
246,52.634,52.634,52.634,52.634,200,12/12/17 13:36
247,52.7,52.7,52.65,52.7,1194,12/12/17 13:37
251,52.65,52.65,52.65,52.65,100,12/12/17 13:41
252,52.7,52.7,52.7,52.7,800,12/12/17 13:42
253,52.7,52.7,52.7,52.7,322,12/12/17 13:43
256,52.75,52.75,52.75,52.75,100,12/12/17 13:46
260,52.75,52.75,52.7,52.7,600,12/12/17 13:50
261,52.7,52.75,52.7,52.75,400,12/12/17 13:51
262,52.7,52.7,52.7,52.7,300,12/12/17 13:52
266,52.75,52.75,52.75,52.75,100,12/12/17 13:56
268,52.75,52.75,52.75,52.75,200,12/12/17 13:58
269,52.725,52.725,52.725,52.725,400,12/12/17 13:59
270,52.7,52.7,52.7,52.7,1300,12/12/17 14:00
272,52.65,52.65,52.65,52.65,323,12/12/17 14:02
273,52.6,52.6,52.6,52.6,200,12/12/17 14:03
276,52.65,52.65,52.65,52.65,434,12/12/17 14:06
277,52.625,52.625,52.625,52.625,100,12/12/17 14:07
278,52.6182,52.6182,52.6,52.6,2355,12/12/17 14:08
279,52.55,52.55,52.55,52.55,1058,12/12/17 14:09
280,52.53,52.53,52.53,52.53,196,12/12/17 14:10
283,52.45,52.5,52.45,52.5,300,12/12/17 14:13
284,52.45,52.45,52.425,52.45,915,12/12/17 14:14
286,52.45,52.45,52.45,52.45,400,12/12/17 14:16
287,52.35,52.4,52.35,52.4,300,12/12/17 14:17
290,52.4,52.4,52.4,52.4,2338,12/12/17 14:20
291,52.45,52.5,52.4,52.4,2257,12/12/17 14:21
293,52.4,52.4,52.4,52.4,200,12/12/17 14:23
295,52.45,52.45,52.45,52.45,1900,12/12/17 14:25
296,52.5,52.5,52.5,52.5,300,12/12/17 14:26
